season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2022,Deshaun Watson,WatsDe00,CLE,27.0,QB,6.0,6.0,36.0,175.0,1.0,10.0,140.0,3.9,35.0,1.0,0.0,,2023-08-28
2022,DeeJay Dallas,DallDe00,SEA,24.0,RB,15.0,0.0,35.0,186.0,0.0,9.0,131.0,3.7,55.0,1.6,3.0,11.7,2023-08-28
2022,Kyren Williams,WillKy02,LA,22.0,RB,10.0,0.0,35.0,139.0,0.0,6.0,80.0,2.3,59.0,1.7,0.0,,2023-08-28
2022,Tyrion Davis-Price,DaviTy03,SF,22.0,RB,6.0,0.0,34.0,99.0,0.0,5.0,46.0,1.4,53.0,1.6,2.0,17.0,2023-08-28
2022,Aaron Rodgers,RodgAa00,GB,39.0,QB,17.0,17.0,34.0,94.0,1.0,9.0,82.0,2.4,12.0,0.4,0.0,,2023-08-28
2022,Ryan Tannehill,TannRy00,TEN,34.0,QB,12.0,12.0,34.0,98.0,2.0,12.0,77.0,2.3,21.0,0.6,1.0,34.0,2023-08-28
2022,Davis Mills,MillDa02,HOU,24.0,QB,15.0,15.0,32.0,108.0,2.0,8.0,107.0,3.3,1.0,0.0,0.0,,2023-08-28
2022,Gary Brightwell,BrigGa00,NYG,23.0,RB,17.0,0.0,31.0,141.0,1.0,9.0,82.0,2.6,59.0,1.9,1.0,31.0,2023-08-28
2022,Kirk Cousins,CousKi00,MIN,34.0,QB,17.0,17.0,31.0,97.0,2.0,11.0,66.0,2.1,31.0,1.0,0.0,,2023-08-28
2022,Baker Mayfield,MayfBa00,2TM,27.0,,12.0,10.0,31.0,89.0,1.0,7.0,70.0,2.3,19.0,0.6,1.0,31.0,2023-08-28
2022,Andy Dalton,DaltAn00,NO,35.0,QB,14.0,14.0,30.0,54.0,0.0,6.0,45.0,1.5,9.0,0.3,0.0,,2023-08-28
2022,Ty Johnson,JohnTy02,NYJ,25.0,RB,17.0,1.0,30.0,160.0,1.0,5.0,72.0,2.4,88.0,2.9,7.0,4.3,2023-08-28
2022,Tom Brady,BradTo00,TB,45.0,QB,17.0,17.0,29.0,-1.0,1.0,5.0,-6.0,-0.2,5.0,0.2,0.0,,2023-08-28
2022,Jared Goff,GoffJa00,DET,28.0,QB,17.0,17.0,29.0,73.0,0.0,5.0,67.0,2.3,6.0,0.2,0.0,,2023-08-28
2022,Taylor Heinicke,HeinTa00,WAS,29.0,QB,9.0,9.0,28.0,96.0,1.0,6.0,71.0,2.5,25.0,0.9,1.0,28.0,2023-08-28
2022,Zach Wilson,WilsZa00,NYJ,23.0,QB,9.0,9.0,28.0,102.0,1.0,7.0,98.0,3.5,4.0,0.1,0.0,,2023-08-28
2022,Keaontay Ingram,IngrKe01,ARI,23.0,RB,12.0,0.0,27.0,60.0,1.0,4.0,24.0,0.9,36.0,1.3,0.0,,2023-08-28
2022,Matt Ryan,RyanMa00,IND,37.0,QB,12.0,12.0,27.0,70.0,1.0,9.0,59.0,2.2,11.0,0.4,0.0,,2023-08-28
2022,Malik Willis,WillMa12,TEN,23.0,QB,8.0,3.0,27.0,123.0,1.0,8.0,89.0,3.3,34.0,1.3,3.0,9.0,2023-08-28
2022,Rex Burkhead,BurkRe00,HOU,32.0,RB,16.0,0.0,26.0,80.0,0.0,4.0,49.0,1.9,31.0,1.2,2.0,13.0,2023-08-28
2022,Sam Darnold,DarnSa00,CAR,25.0,QB,6.0,6.0,26.0,106.0,2.0,10.0,82.0,3.2,24.0,0.9,0.0,,2023-08-28
2022,Hassan Haskins,HaskHa00,TEN,23.0,RB,15.0,1.0,25.0,93.0,0.0,5.0,31.0,1.2,62.0,2.5,2.0,12.5,2023-08-28
2022,Mike Boone,BoonMi00,DEN,27.0,RB,9.0,0.0,24.0,102.0,0.0,6.0,69.0,2.9,33.0,1.4,3.0,8.0,2023-08-28
2022,Derek Carr,CarrDe02,LV,31.0,QB,15.0,15.0,24.0,102.0,0.0,10.0,90.0,3.8,12.0,0.5,0.0,,2023-08-28
2022,Trestan Ebner,EbneTr00,CHI,23.0,RB,17.0,0.0,24.0,54.0,0.0,2.0,24.0,1.0,30.0,1.3,1.0,24.0,2023-08-28
2022,Nyheim Hines,HineNy00,2TM,26.0,RB,16.0,5.0,24.0,33.0,1.0,2.0,24.0,1.0,9.0,0.4,0.0,,2023-08-28
2022,Raheem Blackshear,BlacRa00,CAR,23.0,RB,13.0,1.0,23.0,77.0,3.0,7.0,38.0,1.7,39.0,1.7,1.0,23.0,2023-08-28
2022,Jimmy Garoppolo,GaroJi00,SF,31.0,QB,11.0,10.0,23.0,33.0,2.0,12.0,14.0,0.6,19.0,0.8,0.0,,2023-08-28
2022,Craig Reynolds,ReynCr00,DET,26.0,RB,9.0,0.0,23.0,102.0,0.0,4.0,68.0,3.0,34.0,1.5,0.0,,2023-08-28
2022,Tua Tagovailoa,TagoTu00,MIA,24.0,QB,13.0,13.0,23.0,70.0,0.0,4.0,61.0,2.7,9.0,0.4,0.0,,2023-08-28
2022,Dontrell Hilliard,HillDo00,TEN,27.0,RB,12.0,1.0,22.0,145.0,0.0,4.0,109.0,5.0,36.0,1.6,0.0,,2023-08-28
2022,JD McKissic,McKiJ.00,WAS,29.0,RB,8.0,0.0,22.0,95.0,0.0,5.0,64.0,2.9,31.0,1.4,1.0,22.0,2023-08-28
2022,Brock Purdy,PurdBr00,SF,23.0,QB,9.0,5.0,22.0,13.0,1.0,5.0,6.0,0.3,7.0,0.3,0.0,,2023-08-28
2022,Carson Wentz,WentCa00,WAS,30.0,QB,8.0,7.0,22.0,86.0,1.0,4.0,65.0,3.0,21.0,1.0,1.0,22.0,2023-08-28
2022,Avery Williams,WillAv02,ATL,24.0,RB,17.0,3.0,22.0,109.0,1.0,6.0,83.0,3.8,26.0,1.2,0.0,,2023-08-28
2022,Darrel Williams,WillDa10,ARI,27.0,RB,6.0,0.0,21.0,102.0,1.0,8.0,78.0,3.7,24.0,1.1,0.0,,2023-08-28
2022,Jeff Driskel,DrisJe00,HOU,29.0,QB,7.0,2.0,20.0,75.0,0.0,4.0,50.0,2.5,25.0,1.3,1.0,20.0,2023-08-28
