Actual,Predicted,Probability_0,Probability_1,Metric,Value
False,False,0.9999385540132012,6.144598679885674e-05,,
False,False,0.9999936650729085,6.334927091416702e-06,,
True,True,0.031084595494176193,0.9689154045058238,,
False,False,0.9999770559714233,2.2944028576721877e-05,,
False,False,0.9999968683206037,3.1316793962922567e-06,,
False,False,0.9999709169506048,2.908304939514023e-05,,
True,True,0.04085829775132066,0.9591417022486793,,
True,True,0.024312477267178112,0.9756875227328219,,
True,True,0.028520173200253685,0.9714798267997463,,
False,False,0.9999299371726287,7.00628273713248e-05,,
False,False,0.9999992593420268,7.406579731264869e-07,,
False,False,0.999996663956969,3.336043031059194e-06,,
False,False,0.9999934130597995,6.586940200529592e-06,,
True,True,0.24688393018982402,0.753116069810176,,
False,False,0.9989433045780052,0.0010566954219948077,,
False,True,0.33647721508346495,0.663522784916535,,
False,False,0.9996299796729077,0.0003700203270923264,,
True,True,0.008230258016483694,0.9917697419835163,,
False,False,0.9999996294418904,3.705581096171437e-07,,
False,False,0.9980952790564138,0.0019047209435861592,,
True,True,0.022718755891737774,0.9772812441082622,,
False,False,0.9999988604875237,1.1395124762223582e-06,,
False,False,0.9999559720810579,4.40279189421035e-05,,
False,False,0.9999974313283491,2.5686716509026232e-06,,
False,False,0.9999980595140133,1.940485986694335e-06,,
False,False,0.9999880069846058,1.199301539427047e-05,,
False,False,0.9999961464189179,3.853581082147491e-06,,
True,True,0.03366896718278678,0.9663310328172132,,
False,False,0.9999656154157447,3.438458425533113e-05,,
False,False,0.9999297235756656,7.027642433440041e-05,,
False,False,0.999987815649306,1.218435069398029e-05,,
False,False,0.9999833502941433,1.664970585670624e-05,,
False,False,0.9999696453460138,3.0354653986198232e-05,,
False,False,0.9999950095256751,4.990474324874805e-06,,
True,True,0.17579652385151445,0.8242034761484855,,
False,False,0.9999986759551799,1.3240448201538181e-06,,
True,True,0.0006655276767211227,0.9993344723232789,,
False,False,0.9999980809795612,1.9190204387732665e-06,,
True,True,0.00517207083505955,0.9948279291649404,,
False,False,0.9999994087807946,5.912192054182789e-07,,
False,False,0.9999982171934743,1.7828065257953578e-06,,
True,True,0.07485758660304032,0.9251424133969597,,
False,False,0.9999047020190539,9.529798094613405e-05,,
False,False,0.9999977564961764,2.243503823622225e-06,,
False,False,0.9999967569897457,3.2430102543808974e-06,,
False,False,0.9999992156202068,7.843797932622908e-07,,
False,False,0.9999999239369947,7.606300537095022e-08,,
False,False,0.9997544031181257,0.00024559688187429174,,
True,True,0.014697023454639746,0.9853029765453603,,
True,True,0.13029761685960184,0.8697023831403982,,
False,False,0.9999928724651115,7.127534888520163e-06,,
False,False,0.9999999695070787,3.049292126873071e-08,,
False,False,0.999999249911577,7.500884230204558e-07,,
False,False,0.9999996900662588,3.09933741236096e-07,,
False,False,0.9999995161395503,4.838604497492984e-07,,
False,False,0.9999995119779996,4.880220004194232e-07,,
False,False,0.9999997437803592,2.562196408775297e-07,,
False,False,0.9999509327790784,4.906722092160615e-05,,
False,False,0.9999873880134276,1.2611986572412808e-05,,
False,False,0.9999967466447099,3.2533552900230358e-06,,
False,False,0.9999999917293043,8.270695703139044e-09,,
False,False,0.9998802557810452,0.00011974421895476927,,
True,True,0.0013902358714952268,0.9986097641285048,,
False,False,0.9999997574008279,2.4259917211875664e-07,,
False,False,0.9999999672370189,3.2762981053896936e-08,,
False,False,0.9999976182915866,2.381708413409285e-06,,
False,False,0.9999673809117856,3.2619088214419765e-05,,
True,True,0.2903472384758393,0.7096527615241607,,
False,False,0.999932652838935,6.734716106500885e-05,,
False,False,0.9991475820166306,0.0008524179833694273,,
False,False,0.9999976833978395,2.3166021605753486e-06,,
True,True,0.0010117203323087853,0.9989882796676912,,
False,True,0.02321114072769459,0.9767888592723054,,
False,False,0.9997336925171536,0.00026630748284637564,,
True,True,0.01314421413245681,0.9868557858675432,,
True,True,0.0009063103660335026,0.9990936896339665,,
False,False,0.999967803500347,3.219649965299828e-05,,
False,False,0.999999637329351,3.626706489574483e-07,,
False,False,0.9998896861774411,0.00011031382255883559,,
False,False,0.9999991398455456,8.6015445442997e-07,,
False,False,0.9999650845615975,3.4915438402558654e-05,,
False,False,0.9962655144444902,0.003734485555509798,,
False,False,0.9999363212077994,6.367879220062873e-05,,
False,False,0.9997479874782228,0.0002520125217772506,,
False,False,0.9999995979860246,4.020139753889118e-07,,
False,False,0.9999998913619803,1.0863801968235881e-07,,
False,False,0.9999983711469662,1.6288530338385907e-06,,
False,False,0.9999978485478745,2.1514521254981273e-06,,
False,False,0.9999983031364956,1.6968635043557716e-06,,
True,True,0.0022579112949071556,0.9977420887050928,,
False,False,0.9998558164222621,0.0001441835777379406,,
False,False,0.9999991669933177,8.330066822673439e-07,,
False,False,0.9994401281907994,0.0005598718092005966,,
True,True,0.017167038530384926,0.9828329614696151,,
False,False,0.9999876540219041,1.2345978095900118e-05,,
True,True,0.005308908902103449,0.9946910910978966,,
False,False,0.9999566286387582,4.3371361241781695e-05,,
False,False,0.9999999515875366,4.841246332975673e-08,,
False,False,0.9999984066067874,1.5933932125879756e-06,,
True,True,0.005338770028715523,0.9946612299712845,,
False,False,0.9999647844683229,3.521553167705621e-05,,
False,False,0.9999953467365716,4.653263428357396e-06,,
False,False,0.9999992192528419,7.807471581301218e-07,,
False,False,0.9999993330948126,6.669051874077602e-07,,
False,False,0.9999996927861187,3.072138813546339e-07,,
False,False,0.9999974119557435,2.5880442564297715e-06,,
False,False,0.8178628053239039,0.18213719467609613,,
True,True,0.02102177050931342,0.9789782294906866,,
False,False,0.9999990069254858,9.93074514124247e-07,,
True,True,0.0001150402977175835,0.9998849597022824,,
False,False,0.9999979092111173,2.0907888826842214e-06,,
False,False,0.9996979554783291,0.00030204452167096447,,
False,False,0.9999754401096067,2.4559890393335464e-05,,
True,True,0.35841509351079914,0.6415849064892009,,
False,False,0.9997628010099691,0.0002371989900309635,,
True,True,0.005856644778904019,0.994143355221096,,
False,False,0.993840735699261,0.006159264300738998,,
False,False,0.999999893372262,1.0662773796079261e-07,,
False,False,0.9416621329315751,0.05833786706842488,,
False,False,0.9999991460087786,8.539912214212005e-07,,
False,False,0.9999775381692116,2.2461830788357228e-05,,
False,False,0.9999757650619954,2.4234938004604293e-05,,
False,False,0.9999821011322784,1.78988677216224e-05,,
False,False,0.9999998759257398,1.240742601735705e-07,,
False,False,0.9999970887916679,2.9112083320257196e-06,,
False,False,0.9999986261091531,1.373890846885549e-06,,
False,True,0.10002833121738752,0.8999716687826125,,
True,True,0.04052258595944369,0.9594774140405563,,
False,False,0.9999976541444137,2.345855586293479e-06,,
False,False,0.9999069765490752,9.302345092477629e-05,,
False,False,0.999903555127453,9.644487254701691e-05,,
False,False,0.9999982280127456,1.7719872543749407e-06,,
False,False,0.9999997633804805,2.3661951951792776e-07,,
False,False,0.9999706832366755,2.931676332446823e-05,,
False,False,0.9998986306456077,0.00010136935439229926,,
True,True,0.015566817482874362,0.9844331825171256,,
False,False,0.9999889157056892,1.1084294310836887e-05,,
False,False,0.9999976658061157,2.334193884281709e-06,,
False,False,0.9997567436404108,0.0002432563595892329,,
False,False,0.9999971282552842,2.871744715840988e-06,,
False,False,0.9999724120896211,2.758791037891417e-05,,
False,False,0.9999417643613873,5.8235638612771165e-05,,
False,False,0.9996793043869046,0.0003206956130954016,,
False,False,0.9999935584075312,6.44159246879065e-06,,
False,False,0.9999387894412146,6.121055878541307e-05,,
False,False,0.999998989261814,1.0107381860285962e-06,,
False,False,0.999142588657543,0.0008574113424570134,,
False,False,0.9999217063705422,7.82936294577548e-05,,
False,False,0.9999841423229098,1.5857677090241714e-05,,
False,False,0.9999986182954054,1.38170459466982e-06,,
False,False,0.9999924299503485,7.570049651434783e-06,,
False,False,0.9999996810134093,3.189865907302308e-07,,
True,True,0.0212179138234887,0.9787820861765113,,
False,False,0.9997980409264695,0.00020195907353048084,,
False,False,0.9999878695537671,1.2130446232889673e-05,,
False,False,0.9996508552622537,0.00034914473774628194,,
False,False,0.9999946297131196,5.370286880427785e-06,,
False,False,0.9995408631269164,0.0004591368730836335,,
False,False,0.9999842034507923,1.579654920763621e-05,,
False,False,0.9999654203016854,3.4579698314524135e-05,,
False,False,0.9999576786654609,4.232133453904394e-05,,
False,False,0.9999934227362274,6.577263772585498e-06,,
True,True,0.002114550271271165,0.9978854497287288,,
False,False,0.9999969401575441,3.0598424558090684e-06,,
True,True,0.05550750538104132,0.9444924946189587,,
False,False,0.9998611645789995,0.00013883542100046425,,
False,False,0.9996529271431999,0.0003470728568001495,,
False,False,0.9999787350761278,2.1264923872276636e-05,,
False,False,0.9999922984152926,7.701584707385199e-06,,
False,False,0.9998008722475122,0.00019912775248781374,,
True,True,0.019943187426587516,0.9800568125734125,,
False,False,0.9999855301568719,1.4469843128170538e-05,,
False,False,0.9999941881488971,5.811851102931296e-06,,
False,False,0.9999962761252136,3.7238747864384262e-06,,
False,False,0.9999985459066612,1.4540933389033775e-06,,
True,True,0.22879851660845474,0.7712014833915453,,
False,False,0.9999899926941337,1.0007305866263692e-05,,
False,False,0.9998170064892548,0.0001829935107452558,,
True,True,0.004821712181132365,0.9951782878188676,,
False,False,0.9999987796294709,1.2203705291194358e-06,,
True,True,0.020343366826632292,0.9796566331733677,,
True,True,0.002431244639380159,0.9975687553606198,,
False,False,0.9999853265728853,1.4673427114740204e-05,,
False,False,0.9999997218068193,2.7819318073646346e-07,,
True,True,0.0519138635742421,0.9480861364257579,,
False,False,0.9999923550890981,7.644910901909179e-06,,
False,False,0.9999999627378308,3.726216927000912e-08,,
True,True,0.01799234879355449,0.9820076512064455,,
False,False,0.9999873164596866,1.2683540313391532e-05,,
False,False,0.9999983589511107,1.6410488893062831e-06,,
False,False,0.9999788117602316,2.118823976841632e-05,,
False,False,0.9999033859563582,9.661404364182764e-05,,
False,False,0.9999986978827993,1.3021172006962047e-06,,
False,False,0.9999971693897564,2.830610243688715e-06,,
True,True,0.004526193269993262,0.9954738067300067,,
False,False,0.9996416629671689,0.0003583370328310827,,
True,True,0.01344242734726564,0.9865575726527344,,
False,False,0.9999543844189664,4.561558103357173e-05,,
False,False,0.9999912801168692,8.719883130778366e-06,,
False,False,0.9990235598583583,0.0009764401416416549,,
False,False,0.9999869906148342,1.3009385165779013e-05,,
False,False,0.9993410077549012,0.0006589922450987774,,
False,False,0.597975852287709,0.40202414771229095,,
False,False,0.9995792965816241,0.00042070341837589494,,
False,False,0.9999835533920187,1.6446607981258025e-05,,
True,True,0.05313882020198901,0.946861179798011,,
False,False,0.9998761903569454,0.00012380964305453153,,
False,False,0.9999963951141474,3.604885852637926e-06,,
False,True,0.10884651973569082,0.8911534802643092,,
False,False,0.9999493409067325,5.0659093267509415e-05,,
False,False,0.9999837969995355,1.620300046449823e-05,,
True,True,0.0026309047905149763,0.997369095209485,,
False,False,0.9999959025560294,4.0974439705320764e-06,,
False,False,0.9995619222491852,0.00043807775081479173,,
False,False,0.9999999971027806,2.897219333945403e-09,,
False,False,0.9999980054799158,1.9945200842063344e-06,,
False,False,0.9998807535507928,0.00011924644920729417,,
False,False,0.9999964101357786,3.5898642214760688e-06,,
True,True,0.0007156311294663764,0.9992843688705336,,
False,False,0.9999594478463187,4.055215368120744e-05,,
False,False,0.999992335205911,7.664794088987779e-06,,
False,False,0.9999405596398597,5.9440360140269766e-05,,
True,True,0.021577381390635142,0.9784226186093649,,
False,False,0.999962323269296,3.767673070400559e-05,,
False,False,0.9995617853450799,0.00043821465492011605,,
False,False,0.9999989224553077,1.0775446922616573e-06,,
False,False,0.999999917087919,8.291208100298678e-08,,
False,False,0.999997121909151,2.8780908489291183e-06,,
True,True,0.06719094310892404,0.932809056891076,,
False,False,0.9979491786002657,0.0020508213997342977,,
False,False,0.9999987911905485,1.2088094514845054e-06,,
False,False,0.999999916312324,8.368767601662668e-08,,
True,True,0.08716246077664136,0.9128375392233586,,
False,False,0.9999985488405949,1.4511594051333543e-06,,
False,False,0.9999950375199617,4.962480038316323e-06,,
False,False,0.999999485540033,5.144599669861241e-07,,
True,True,0.002681470476070036,0.99731852952393,,
False,False,0.9999992782227946,7.217772054729323e-07,,
False,False,0.9999850550964661,1.4944903533985509e-05,,
True,True,0.00497734054940091,0.9950226594505991,,
True,True,0.02044548749292696,0.979554512507073,,
False,False,0.9999989225692444,1.0774307555837634e-06,,
False,False,0.9993940363321246,0.0006059636678753164,,
False,False,0.9999998282323126,1.7176768736886698e-07,,
True,True,0.002358888163385253,0.9976411118366147,,
False,False,0.9999852107294724,1.4789270527552601e-05,,
False,False,0.9720517783309152,0.027948221669084814,,
False,False,0.9999993477662846,6.522337153415684e-07,,
False,False,0.9939932965769489,0.006006703423051078,,
False,False,0.9999746001894582,2.5399810541869756e-05,,
False,False,0.9995121868331936,0.0004878131668063703,,
False,False,0.999996387839611,3.6121603890485423e-06,,
False,False,0.9999879847958584,1.2015204141593533e-05,,
True,True,0.027444985394142307,0.9725550146058577,,
False,False,0.9999794971005264,2.0502899473687963e-05,,
False,False,0.9999276110090379,7.238899096204572e-05,,
False,False,0.999999729202617,2.707973829412891e-07,,
False,False,0.9999380515841945,6.194841580556806e-05,,
True,True,0.005730921540376133,0.9942690784596239,,
False,True,0.08511850788532072,0.9148814921146793,,
True,True,0.3713734904249879,0.6286265095750121,,
False,False,0.9984732257227195,0.0015267742772805478,,
True,True,0.04523478325790731,0.9547652167420927,,
False,False,0.9999518756461159,4.8124353884173615e-05,,
False,False,0.7322732897718213,0.26772671022817873,,
False,False,0.9999432980161066,5.6701983893351894e-05,,
False,False,0.9956060865065239,0.004393913493476049,,
True,True,0.02310418464123598,0.976895815358764,,
False,False,0.9999987688687123,1.2311312876415388e-06,,
False,False,0.9999978931310528,2.1068689471763826e-06,,
False,False,0.9999954861991285,4.513800871566036e-06,,
False,False,0.999685778991121,0.00031422100887903634,,
True,True,0.011802317041215482,0.9881976829587845,,
False,False,0.9999989583769637,1.041623036230536e-06,,
True,True,0.1343890039019554,0.8656109960980446,,
False,False,0.9999514161425859,4.85838574140891e-05,,
True,True,0.019131941799556462,0.9808680582004435,,
False,False,0.9999885855342204,1.1414465779617881e-05,,
False,False,0.9999995987079531,4.0129204693135717e-07,,
False,False,0.999999494077833,5.059221670403864e-07,,
False,False,0.9999751353092838,2.4864690716163035e-05,,
False,False,0.9999651507214593,3.484927854073808e-05,,
False,False,0.9998309439578434,0.00016905604215656646,,
False,False,0.9999714768838188,2.8523116181143395e-05,,
True,True,0.01568996730031813,0.9843100326996819,,
False,False,0.9999893135620335,1.0686437966573604e-05,,
True,True,0.0036771711978051957,0.9963228288021948,,
False,False,0.9999997099753359,2.900246640485793e-07,,
True,True,0.144774274461965,0.855225725538035,,
True,True,0.021899386089309303,0.9781006139106907,,
True,True,0.1171609145926672,0.8828390854073328,,
False,False,0.9471910455118469,0.05280895448815315,,
True,True,0.022090553250091904,0.9779094467499081,,
False,False,0.9999972922955453,2.70770445461568e-06,,
False,False,0.9999686452876415,3.135471235851696e-05,,
False,False,0.9996426640701949,0.00035733592980511633,,
False,False,0.9999965417769557,3.4582230442883283e-06,,
False,False,0.9999722654520491,2.7734547950908625e-05,,
False,False,0.9999986189861418,1.3810138581810138e-06,,
False,False,0.9999997650048712,2.349951287534162e-07,,
True,True,0.024312477267178112,0.9756875227328219,,
False,False,0.9998543802225972,0.00014561977740282263,,
False,False,0.9999972313354093,2.768664590698605e-06,,
False,False,0.9999991635082661,8.364917338745674e-07,,
False,False,0.999999588464742,4.115352579381455e-07,,
False,False,0.9999626810475737,3.7318952426320486e-05,,
False,False,0.9999969270072404,3.072992759612843e-06,,
False,False,0.9998746208321742,0.00012537916782585722,,
False,False,0.999995622707482,4.37729251802401e-06,,
False,False,0.9999905803923764,9.419607623580678e-06,,
False,False,0.9999692644209027,3.073557909724609e-05,,
False,False,0.9999999691856443,3.081435575578376e-08,,
True,True,0.33902764152122067,0.6609723584787793,,
True,True,0.003512422915488367,0.9964875770845116,,
False,False,0.9999743477073364,2.5652292663566444e-05,,
False,False,0.9999885786042249,1.142139577519621e-05,,
False,False,0.9999936220044697,6.377995530278349e-06,,
False,False,0.9999990992100182,9.007899818121321e-07,,
False,False,0.9999732090092218,2.6790990778165138e-05,,
False,False,0.9999797655121233,2.0234487876737056e-05,,
False,False,0.9999778283413979,2.2171658602044444e-05,,
False,False,0.9999973006147379,2.699385262056751e-06,,
False,False,0.9999963020805493,3.6979194506474727e-06,,
False,False,0.9999841268151566,1.587318484340575e-05,,
False,False,0.9999961380230292,3.861976970738436e-06,,
False,False,0.9999999795197874,2.0480212626371924e-08,,
False,False,0.9992473369591374,0.0007526630408626184,,
False,False,0.9962623005112223,0.003737699488777689,,
False,False,0.9999999785087237,2.1491276341756065e-08,,
False,False,0.9999998493672902,1.5063270971019284e-07,,
False,False,0.9999999891068234,1.089317655998416e-08,,
False,False,0.9999946543275672,5.345672432865319e-06,,
False,False,0.9997228144761054,0.00027718552389455973,,
False,False,0.9999982135678418,1.7864321582394326e-06,,
False,False,0.9999924466966176,7.553303382415725e-06,,
False,False,0.9999985194304774,1.4805695226925217e-06,,
False,False,0.9999990218275496,9.78172450384687e-07,,
False,False,0.9999918961782762,8.103821723752566e-06,,
False,False,0.9999726005821056,2.7399417894374256e-05,,
True,True,0.1565740765087278,0.8434259234912722,,
False,False,0.9999954748113393,4.525188660654408e-06,,
False,False,0.9999312487874502,6.875121254977939e-05,,
False,False,0.9999922845473183,7.715452681752907e-06,,
False,False,0.999933967067645,6.603293235497035e-05,,
False,False,0.9999929250927317,7.07490726828705e-06,,
False,False,0.9995726943373168,0.0004273056626831796,,
False,False,0.999999853145968,1.468540320231069e-07,,
False,False,0.9995380475505249,0.0004619524494751229,,
False,False,0.9999996758603105,3.241396895696443e-07,,
False,False,0.9999868927526732,1.3107247326792835e-05,,
False,False,0.9999999453129299,5.468707006947566e-08,,
False,False,0.9999958241697666,4.175830233380281e-06,,
True,True,0.0088533296677904,0.9911466703322096,,
True,True,0.12403032522184188,0.8759696747781581,,
False,False,0.9187436226509522,0.08125637734904778,,
True,True,0.01665916174858173,0.9833408382514183,,
