Date_Time,Away_Team,Home_Team,Away_Score,Home_Score,Temperature,Weather_Condition
10/09/22 04:25 PM EDT,Cowboys,Rams,22,10,74 °F,Clear
10/09/22 04:25 PM EDT,Eagles,Cardinals,20,17,87 °F,Clear
10/09/22 08:20 PM EDT,Bengals,Ravens,17,19,54 °F,Clear
10/10/22 08:15 PM EDT,Raiders,Chiefs,29,30,72 °F,Partly Cloudy
10/13/22 08:15 PM EDT,Washington,Bears,12,7,47 °F,Partly Cloudy
10/16/22 01:00 PM EDT,49ers,Falcons,14,28,78 °F,Clear
10/16/22 01:00 PM EDT,Patriots,Browns,38,15,64 °F,Clear
10/16/22 01:00 PM EDT,Jets,Packers,27,10,48 °F,Overcast
10/16/22 01:00 PM EDT,Jaguars,Colts,27,34,63 °F,Clear
10/16/22 01:00 PM EDT,Vikings,Dolphins,24,16,84 °F,Humid And Partly Cloudy
10/16/22 01:00 PM EDT,Bengals,Saints,30,26,83 °F,Mostly Cloudy
10/16/22 01:00 PM EDT,Ravens,Giants,20,24,62 °F,Partly Cloudy
10/16/22 01:00 PM EDT,Buccaneers,Steelers,18,20,61 °F,Clear
10/16/22 04:05 PM EDT,Panthers,Rams,10,24,70 °F,Mostly Cloudy
10/16/22 04:05 PM EDT,Cardinals,Seahawks,9,19,77 °F,Clear
10/16/22 04:25 PM EDT,Bills,Chiefs,24,20,64 °F,Partly Cloudy
10/16/22 08:20 PM EDT,Cowboys,Eagles,17,26,59 °F,Mostly Cloudy
10/17/22 08:15 PM EDT,Broncos,Chargers,16,19,71 °F,Clear
10/20/22 08:15 PM EDT,Saints,Cardinals,34,42,88 °F,Clear
10/23/22 01:00 PM EDT,Falcons,Bengals,17,35,73 °F,Clear
10/23/22 01:00 PM EDT,Lions,Cowboys,6,24,78 °F,Partly Cloudy
10/23/22 01:00 PM EDT,Colts,Titans,10,19,73 °F,Clear
10/23/22 01:00 PM EDT,Packers,Washington,21,0,62 °F,Overcast
10/23/22 01:00 PM EDT,Buccaneers,Panthers,3,21,72 °F,Clear
10/23/22 01:00 PM EDT,Giants,Jaguars,23,17,76 °F,Clear
10/23/22 01:00 PM EDT,Browns,Ravens,20,23,65 °F,Overcast
10/23/22 04:05 PM EDT,Jets,Broncos,16,9,67 °F,Foggy
10/23/22 04:05 PM EDT,Texans,Raiders,20,38,62 °F,Clear
10/23/22 04:25 PM EDT,Seahawks,Chargers,37,23,71 °F,Clear
10/23/22 04:25 PM EDT,Chiefs,49ers,44,23,67 °F,Clear
10/23/22 08:20 PM EDT,Steelers,Dolphins,10,16,77 °F,Partly Cloudy
10/24/22 08:15 PM EDT,Bears,Patriots,33,14,57 °F,Overcast
10/27/22 08:15 PM EDT,Ravens,Buccaneers,27,22,79 °F,Humid
10/30/22 09:30 AM EDT,Broncos,Jaguars,21,17,61 °F,Overcast
10/30/22 01:00 PM EDT,Panthers,Falcons,34,37,58 °F,Overcast
10/30/22 01:00 PM EDT,Bears,Cowboys,29,49,65 °F,Clear
10/30/22 01:00 PM EDT,Dolphins,Lions,31,27,55 °F,Mostly Cloudy
10/30/22 01:00 PM EDT,Cardinals,Vikings,26,34,55 °F,Clear
10/30/22 01:00 PM EDT,Raiders,Saints,0,24,69 °F,Clear
10/30/22 01:00 PM EDT,Patriots,Jets,22,17,60 °F,Clear
10/30/22 01:00 PM EDT,Steelers,Eagles,13,35,60 °F,Clear
10/30/22 04:05 PM EDT,Titans,Texans,17,10,73 °F,Partly Cloudy
10/30/22 04:25 PM EDT,Washington,Colts,17,16,58 °F,Overcast
10/30/22 04:25 PM EDT,49ers,Rams,31,14,76 °F,Clear
10/30/22 04:25 PM EDT,Giants,Seahawks,13,27,53 °F,Overcast
10/30/22 08:20 PM EDT,Packers,Bills,17,27,48 °F,Overcast
10/31/22 08:15 PM EDT,Bengals,Browns,13,32,63 °F,Mostly Cloudy
11/03/22 08:15 PM EDT,Eagles,Texans,29,17,76 °F,Humid And Partly Cloudy
11/06/22 02:00 PM EST,Chargers,Falcons,20,17,79 °F,Mostly Cloudy
11/06/22 02:00 PM EST,Dolphins,Bears,35,32,58 °F,Clear
11/06/22 02:00 PM EST,Panthers,Bengals,21,42,69 °F,Clear
11/06/22 02:00 PM EST,Packers,Lions,9,15,61 °F,Partly Cloudy
11/06/22 02:00 PM EST,Colts,Patriots,3,26,73 °F,Overcast
11/06/22 02:00 PM EST,Bills,Jets,17,20,72 °F,Overcast
11/06/22 02:00 PM EST,Vikings,Washington,20,17,74 °F,Mostly Cloudy
11/06/22 02:00 PM EST,Raiders,Jaguars,20,27,80 °F,Humid And Mostly Cloudy
11/06/22 05:05 PM EST,Seahawks,Cardinals,31,21,76 °F,Clear
11/06/22 05:25 PM EST,Rams,Buccaneers,13,16,86 °F,Mostly Cloudy
11/06/22 09:20 PM EST,Titans,Chiefs,17,20,52 °F,Clear
11/07/22 09:15 PM EST,Ravens,Saints,27,13,76 °F,Clear
11/10/22 09:15 PM EST,Falcons,Panthers,15,25,60 °F,Light Rain
11/13/22 10:30 AM EST,Seahawks,Buccaneers,16,21,48 °F,Clear
11/13/22 02:00 PM EST,Vikings,Bills,33,30,35 °F,Heavy Snow
11/13/22 02:00 PM EST,Lions,Bears,31,30,34 °F,Possible Flurries
11/13/22 02:00 PM EST,Broncos,Titans,10,17,37 °F,Partly Cloudy
11/13/22 02:00 PM EST,Jaguars,Chiefs,17,27,34 °F,Clear
11/13/22 02:00 PM EST,Browns,Dolphins,17,39,84 °F,Clear
11/13/22 02:00 PM EST,Texans,Giants,16,24,52 °F,Partly Cloudy
11/13/22 02:00 PM EST,Saints,Steelers,10,20,41 °F,Overcast
11/13/22 05:05 PM EST,Colts,Raiders,25,20,54 °F,Partly Cloudy
11/13/22 05:25 PM EST,Cowboys,Packers,28,31,33 °F,Mostly Cloudy
11/13/22 05:25 PM EST,Cardinals,Rams,27,17,69 °F,Clear
11/13/22 09:20 PM EST,Chargers,49ers,16,22,55 °F,Clear
11/14/22 09:15 PM EST,Washington,Eagles,32,21,38 °F,Clear
